DATAFLOW,LAST UPDATE,freq,unit,animals,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,1999,158,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2000,262,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2001,246,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2002,147,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2003,67,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2004,234,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2005,271,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2006,300279,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2007,233,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2008,283,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2009,310,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2010,350,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BE,2011,321,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BG,2006,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BG,2007,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BG,2008,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BG,2010,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,BG,2011,0,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,1997,7748,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,1998,702,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,1999,1173,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2000,879,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2001,1023,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2002,1266,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2003,1323,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2004,1560,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2005,1649,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2006,1560,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2007,3797,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2008,1898,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2009,1984,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CH,2010,2013,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CY,2009,712,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CZ,2004,3000,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CZ,2005,180,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CZ,2006,45,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CZ,2007,7,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CZ,2008,56,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CZ,2009,48,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CZ,2010,240,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,CZ,2011,417,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,1998,12334,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,1999,2154,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,2000,1094,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,2001,1177,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,2002,1218,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,2003,2582,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,2004,974,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,2005,1046,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,2006,746,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,2008,350052,
ESTAT:ORG_LSTSPEC_H(1.0),13/02/2019 23:00,A,NR,A0019,DK,2009,894,
